,제목,내용,링크,출판사
0,한숨돌린 새마을금고?...중도해지 재예치 1만2000여건 돌파,새마을금고가 '뱅크런' 위기에서 벗어나고 있다. 행정안전부와 새마을금고는 범부처 합동 대응 결과 새마을금고 예금인출 상황이 안정세를 찾아가고 있다고 12 …,https://n.news.naver.com/mnews/article/029/0002813077?sid=101,디지털타임스
1,지난해 사업보고서 10개 중 4개가 ‘미흡’,"지난해 기업 사업보고서 미흡비율이 40%에 육박한 것으로 나타났다. 코넥스 시장 수치가 가장 컸고, 유가증권시장도 26%를 넘어섰다. 부족한 사항들이 각 …",https://n.news.naver.com/mnews/article/014/0005041381?sid=101,파이낸셜뉴스
2,6월 아파트 입주율 주춤…주택시장 양극화에 격차 확대,전국 입주율 63.6%…이달 아파트 입주전망지수도 하락 지난달 전국 아파트 입주율은 수도권과 비수도권 모두 전월 대비 소폭 하락하면서 주춤하는 모습을 보 …,https://n.news.naver.com/mnews/article/001/0014063482?sid=101,연합뉴스
3,"포스코 ""2030년 매출 100兆, 글로벌 톱5로""","포스코가 오는 2030년 매출액 100조원을 달성하겠다는 목표를 제시했다. 철강 생산 능력은 5200만t으로 늘리고, 이 중 1000만t은 저탄소 제품으 …",https://n.news.naver.com/mnews/article/014/0005041463?sid=101,파이낸셜뉴스
4,"한은, 오늘 기준금리 결정…또 동결하나?","한국은행이 13일 금융통화위원회(금통위)에서 기준금리를 또 동결할지 주목된다. 소비자물가상승률이 지난달 2%대로 떨어지고, 새마을금고 위기설에 따른 금융 …",https://n.news.naver.com/mnews/article/079/0003790390?sid=101,노컷뉴스
5,"""마이너스 60%의 악몽 끝날까"" 셀트리온그룹株, 합병 시나리오는",마이너스 60%의 악몽이 끝날까. 셀트리온 3형제 주가가 간만에 기지개를 켰다. 반등을 이끄는 것은 3사 합병 이슈다. 13일 오전 11시26분 셀트리온 …,https://n.news.naver.com/mnews/article/008/0004911625?sid=101,머니투데이
6,화면 키운 삼성·선 없앤 LG…나란히 신제품 출시,"삼성, 98형 네오 QLED 8K 출시 모든 콘텐츠에 최적 화질·소리 제공 LG전자는 97형 무선 올레드TV 출시 빠른 속도로 대용량정보 전송 가능 프리 …",https://n.news.naver.com/mnews/article/009/0005157895?sid=101,매일경제
7,"KG모빌리티, ‘2023 상반기 우수판매 대리점’ 시상식 개최",KG모빌리티가 올해 상반기 우수판매 대리점 시상식을 열고 판매 대리점 대표들과 현장의 소리를 듣는 자리를 마련했다고 12일 밝혔다. KG모빌리티는 서울  …,https://n.news.naver.com/mnews/article/009/0005157496?sid=101,매일경제
8,한화생명 환급률 111% 저축보험으로 상생금융,한화생명이 13일 취약계층 전용 저축보험 상품 제공 등 상생 금융 방안을 내놨다. 금융감독원과 한화생명은 이날 오전 63빌딩 라벤더홀에서 상생 친구 협약 …,https://n.news.naver.com/mnews/article/031/0000758630?sid=101,아이뉴스24
9,"한은 “국내 경기, 향후 IT경기 개선에 점차 회복…성장률 1.4%”",한국은행은 13일 '경제상황 평가' 보고서를 통해 금년중 경제성장률을 지난 5월 전망수준 1.4%에 대체로 부합헐 것으로 예상했다. 국내경기는 향후 IT …,https://n.news.naver.com/mnews/article/123/0002310497?sid=101,조세일보
