,제목,작가,평점,링크
0,쌍둥이 영애가 남장을 하는 이유,아마미야 레이 / M N,9.81,https://comic.naver.com/webtoon/list?titleId=812164
1,3X3!,만능유자차,9.93,https://comic.naver.com/webtoon/list?titleId=812223
2,신혼일기,자까,9.82,https://comic.naver.com/webtoon/list?titleId=812354
3,돈내놔,은류 / 도늑,7.30,https://comic.naver.com/webtoon/list?titleId=812560
4,내향남녀,나,9.95,https://comic.naver.com/webtoon/list?titleId=812629
5,소녀셋 소년셋,"찡나 / 찡나, 이신",9.37,https://comic.naver.com/webtoon/list?titleId=811664
6,자기 취향 존중,모히또모히칸 / 설주,9.90,https://comic.naver.com/webtoon/list?titleId=812561
7,도돌이표,으겸2,9.66,https://comic.naver.com/webtoon/list?titleId=813097
8,강아지는 멍멍하고 짖지 않아!,얄라리,9.95,https://comic.naver.com/webtoon/list?titleId=812168
9,사생돌,령 / 유나나,7.97,https://comic.naver.com/webtoon/list?titleId=812344
10,귀비나리,신희빈 / 곰시,9.90,https://comic.naver.com/webtoon/list?titleId=812381
11,더 베이비시터,김도연,9.84,https://comic.naver.com/webtoon/list?titleId=812558
12,DC 플래시: 세상에서 제일 빠른 남자,"제프 존스, 케니 포터 / 리카도 로페즈 오리츠",8.97,https://comic.naver.com/webtoon/list?titleId=812127
13,집착 흑막들의 시터가 되어버렸다,오성영 / 여람 / i싱나,9.93,https://comic.naver.com/webtoon/list?titleId=812143
14,배드 엔딩 메이커,오일구 / 심재영 / 류은가람,9.88,https://comic.naver.com/webtoon/list?titleId=812017
15,자매의 사생활,조주희 / 뉘롬,9.87,https://comic.naver.com/webtoon/list?titleId=812121
16,도태교실,황준호,9.90,https://comic.naver.com/webtoon/list?titleId=812161
17,포 더 퀸덤,로즈옹,9.90,https://comic.naver.com/webtoon/list?titleId=812414
18,착한 여자 안선해,선우,9.77,https://comic.naver.com/webtoon/list?titleId=812576
19,신입사원 김철수,스튜디오MW / 권다희 / 오정,9.51,https://comic.naver.com/webtoon/list?titleId=812594
20,죽었던 너와 다시 시작하기,히우,9.79,https://comic.naver.com/webtoon/list?titleId=812731
21,컨트롤X,사이렌 / 서클,9.04,https://comic.naver.com/webtoon/list?titleId=812403
22,후드,후렛샤 / 595,8.10,https://comic.naver.com/webtoon/list?titleId=812383
23,오프에서 만나요,팀 치즈고포,9.83,https://comic.naver.com/webtoon/list?titleId=812412
24,죽고 싶습니다,연제원,9.82,https://comic.naver.com/webtoon/list?titleId=811841
25,사장님이 미쳤어요,밤희 / 꾼 / 노승아,9.70,https://comic.naver.com/webtoon/list?titleId=812144
26,찐한 고백,JIP / 의령 / 로즈빈,9.94,https://comic.naver.com/webtoon/list?titleId=812660
27,청춘만개,ALTO,9.62,https://comic.naver.com/webtoon/list?titleId=812352
28,부패의 사제,보리 / YU / 사다듬,9.85,https://comic.naver.com/webtoon/list?titleId=809722
29,플레이어가 과거를 숨김,개차반 / 비누끼 / 베데스,9.87,https://comic.naver.com/webtoon/list?titleId=811707
30,대박사건,"광진, 두엽 / 그나",9.81,https://comic.naver.com/webtoon/list?titleId=811908
31,유쾌한 왕따(재),김숭늉,9.89,https://comic.naver.com/webtoon/list?titleId=812124
32,동그란 그녀와 소심한 그 남자,하야마 이즈미 / 오카무라 야치요,9.36,https://comic.naver.com/webtoon/list?titleId=812156
33,망겜의 현금술사,무릇,9.84,https://comic.naver.com/webtoon/list?titleId=812645
34,불면증을 치료했더니 폭군이 집착합니다,"복숭아맛탄산수, 제이디 / M&K스튜디오",9.86,https://comic.naver.com/webtoon/list?titleId=812118
35,괴양이,붉은코끼리,9.85,https://comic.naver.com/webtoon/list?titleId=812339
36,유물읽는 감정사,영완(映完) / 임성욱,9.91,https://comic.naver.com/webtoon/list?titleId=812462
